名稱,國家城市,服務性質,電話,負責人
台灣基督長老教會山美教會,台灣 - 嘉義縣,教會,05-258-6554,安志強 牧師
台灣基督長老教會中山教會（星中）,台灣 - 台北市,教會,02-2551-8480,葉啟祥 牧師
台灣基督長老教會中山教會（彰中）,台灣 - 彰化縣,教會,04-724-6708,余淑玲 牧師
中台聖教會,台灣 - 台中市,教會,04-2206-1020,張心怡 牧師
台灣基督長老教會中央教會,台灣 - 台北市,教會,02-2394-8486,李念恩
基督教中央神召會,台灣 - 台北市,教會,02-2792-4526,莊飛 牧師
台灣基督長老教會中平教會,台灣 - 花蓮縣,教會,03-888-5395,黃建一 牧師
台灣基督長老教會建康教會,台灣 - 新北市,教會,02-2221-7844,曾博傑 傳道師
中庄基督教會,台灣 - 嘉義縣,教會,05-289-2045,谷雅各
中和區全福音教會,台灣 - 新北市,教會,02-2941-4384,楊忠孚 牧師
中和恩典教會,台灣 - 新北市,教會,02-8226-1006,劉瑋錦 牧師
台灣基督長老教會中山教會（中中）,台灣 - 台中市,教會,04-2285-6012,松春成 牧師
台灣基督長老教會中山教會（高中）,台灣 - 高雄市,教會,"07-334-6123, 07-334-7232",蕭文傑 牧師
台灣基督長老教會中心崙教會,台灣 - 屏東縣,教會,08-876-1088,李再祥 牧師
中央全美浸信會,台灣 - 新北市,教會,02-8685-5149,陳正揚 牧師
台灣基督長老教會中央教會,台灣 - 新北市,教會,02-2262-8236,張麗娟 牧師
中央基督徒聚會處,台灣 - 桃園市,教會,03-4796072,吳金秀
台灣基督長老教會中正教會（新竹中會）,台灣 - 新竹市,教會,"03-515-2369, 03-515-3694",周克修 牧師
台灣基督長老教會中正教會（壽中）,台灣 - 高雄市,教會,07-222-0578,周楷傑 牧師
台灣基督長老教會中村教會,台灣 - 屏東縣,教會,08-799-1650,塔卡納夫‧璟榕 牧師
財團法人中華基督教行道會中和教會,台灣 - 新北市,教會,02-2247-4505,丁長勤 牧師
浸信會中和感恩堂,台灣 - 新北市,教會,02-22421617,傅寶華
中和基督之家,台灣 - 新北市,教會,02-2943-4242,趙德馨 長老
中和錫安堂,台灣 - 新北市,教會,02-2240-6710,陳曼蓉 傳道
台灣基督長老教會中林教會,台灣 - 屏東縣,教會,08-770-1669,林澤生 牧師
台灣基督長老教會中洲教會,台灣 - 台南市,教會,06-266-2358,陳聯松 牧師
台灣基督長老教會迦琳谷教會,台灣 - 花蓮縣,教會,03-823-6535,希僕文．幸蓋 牧師
台灣基督長老教會德克達雅教會,台灣 - 南投縣,教會,049-294-1301,瓦旦吉洛 牧師
台灣基督長老教會中泰教會,台灣 - 高雄市,教會,07-365-2911,
中國佈道會台中思恩堂,台灣 - 台中市,教會,04-2298-4811,杜明達 牧師
中國佈道會台北聖道堂,台灣 - 台北市,教會,02-2365-3341,何志強
台灣基督長老教會中和教會,台灣 - 新北市,教會,02-2223-0179,蔡登輝 牧師
中和神召會,台灣 - 新北市,教會,02-2240-2054,顏全龍
中華循理會中和教會,台灣 - 新北市,教會,02-2943-1929,周聖景 傳道
台灣基督長老教會中坡教會,台灣 - 台北市,教會,02-2726-0320,
台灣基督長老教會中芸教會,台灣 - 高雄市,教會,07-641-3455,蘭仁哲 牧師
台灣基督長老教會中研教會,台灣 - 台北市,教會,02-2782-4636,楊麗玉 牧師
台灣基督長老教會中原教會,台灣 - 桃園市,教會,03-457-1253,黃英明 牧師
中原聖教會,台灣 - 桃園市,教會,03-466-7530,黃仁勝 牧師
中國佈道會天母感恩堂,台灣 - 台北市,教會,02-2822-4466,胡雲翔 牧師
中國佈道會台北高榮教會,台灣 - 新北市,教會,02-2643-3271,林淳明 牧師
中國佈道會東湖感恩堂,台灣 - 台北市,教會,02-2632-0867,李而春
新竹喜樂教會,台灣 - 新竹市,教會,03-542-1175,劉韶景 傳道
中國佈道會潮州國語禮拜堂,台灣 - 屏東縣,教會,08-788-4784,陳聖聰 牧師
中國基督教長老會萬華教會,台灣 - 台北市,教會,02-2308-6568,蕭志達 牧師
中國信義會施恩堂,台灣 - 台北市,教會,02-2239-8581,潘立言 牧師
中國信義會基隆通化教會,台灣 - 基隆市,教會,02-2422-4771,李德芳
中國信義會聖道堂,台灣 - 台北市,教會,02-2939-8395,楊忠源
中國信義會慕恩堂,台灣 - 宜蘭縣,教會,039-281519,周秋玲
中國信義會羅東靈恩堂,台灣 - 宜蘭縣,教會,03-954-2708,林福雄 傳道
中國聖道會中和善道堂,台灣 - 新北市,教會,02-22499062,單培元
基督教中國佈道會岡山聖道堂,台灣 - 高雄市,教會,07-621-5016,王世龍 牧師
中國佈道會高榮禮拜堂,台灣 - 桃園市,教會,03-490-4231,柴子高 傳道
中國佈道會瑪樂發教會,台灣 - 屏東縣,教會,08-787-2360,廖金鐘 牧師
中國基督教長老會中和教會,台灣 - 新北市,教會,02-2240-4822,趙張阿英
中國信義會忠信堂,台灣 - 台北市,教會,02-2726-5735,黃慧珍 傳道
中國信義會恩光堂,台灣 - 台北市,教會,02-2707-9311,鄭發祥
中國信義會救恩堂,台灣 - 桃園市,教會,03-3138130,沙德福
中國基督教信義會桃園福音堂,台灣 - 桃園市,教會,03-325-1973,朱順慈 教士
中國信義會蘇澳蘭恩堂,台灣 - 宜蘭縣,教會,03-996-1648,田仁春
台北市中心神召會,台灣 - 台北市,教會,02-2321-0665,丁爾勁 牧師
中國聖道會神恩堂,台灣 - 台北市,教會,02-2732-0049，02-2736-8078,林珍郁
台灣基督長老教會中崙教會,台灣 - 高雄市,教會,07-753-5545,劉俊宏 傳道師
台灣基督長老教會中野教會,台灣 - 台東縣,教會,089-56-8000,伊布．坎普丹 牧師
中華民國台灣基督教信義會七佳教會,台灣 - 屏東縣,教會,08-879-2485,吳明裕
中華民國台灣基督教信義會十全教會,台灣 - 高雄市,教會,07-558-4516,高英茂 牧師
中華民國台灣基督教信義會明穗教會,台灣 - 新北市,教會,02-8221-7282,何建榮
中華民國台灣基督教信義會內湖教會,台灣 - 台北市,教會,02-2799-3958,陳至敏 教師
中華民國台灣基督教信義會西盛教會,台灣 - 新北市,教會,02-2205-1905,黃基源 牧師
中華民國台灣基督教信義會枋寮教會,台灣 - 屏東縣,教會,08-878-2717,陳立澤
中華民國台灣基督教信義會屏東教會,台灣 - 屏東縣,教會,08-737-4030,范義士 牧師
中國聖道會真道堂,台灣 - 台北市,教會,02-2706-8147,胡鴻文
台灣基督長老教會中崙教會,台灣 - 台北市,教會,02-2721-6181,羅興隆 牧師
台灣基督長老教會中崙教會基立溪莊營地山林禮拜堂,台灣 - 新北市,教會,02-2663-1522,陳天來 牧師
台灣基督長老教會中港教會,台灣 - 新北市,教會,02-2991-4655,李世煌 牧師
中華民國台灣基督教信義會九如教會,台灣 - 高雄市,教會,07-383-0653,陳輝龍 牧師
中華民國台灣基督教信義會小港教會,台灣 - 高雄市,教會,07-821-0324,蔡一文
中華民國台灣基督教信義會五房教會,台灣 - 屏東縣,教會,08-869-0029,高英茂 牧師
中華民國台灣基督教信義會光復教會,台灣 - 新竹市,教會,03-578-1517,趙丹祥 傳道
中華民國台灣基督教信義會和平教會,台灣 - 台北市,教會,02-2735-4281,周音華 牧師
中華民國台灣基督教信義會板橋教會,台灣 - 新北市,教會,02-2958-9137,楊伊蓉 長老
中華民國台灣基督教信義會恆春教會,台灣 - 屏東縣,教會,08-889-1104,
中華民國台灣基督教信義會崗山教會,台灣 - 高雄市,教會,07-7714753,黃瑞鴻 傳道
中華民國台灣基督教信義會萬丹教會,台灣 - 屏東縣,教會,08-777-2775,吳文仁 牧師
中華協力會伯特利教會,台灣 - 彰化縣,教會,04-712-1035,黃哲輝 牧師
中華協力會新竹蒙恩堂,台灣 - 新竹市,教會,03-524-9338,林忠雄 牧師
中華拓荒團橫山社區福音中心,台灣 - 新竹縣,教會,03-593-1447,鍾聖一 傳道
中華基督長老會大崎腳國語禮拜堂,台灣 - 新北市,教會,02-2911-9127,李振賢
中華基督教長老會新店禮拜堂,台灣 - 新北市,教會,02-2911-8102,
中華青年歸主台中頌恩堂,台灣 - 台中市,教會,04-2422-3934,張崔明秀
中華基督教信義會福音堂,台灣 - 苗栗縣,教會,037-32-4200,余志信 教師
中華民國台灣基督教信義會屏南教會,台灣 - 屏東縣,教會,08-753-7310,賴穗真
中華民國台灣基督教信義會科園教會,台灣 - 新竹市,教會,03-5787577,趙全昇
財團法人中華民國台灣基督教信義會新莊教會,台灣 - 新北市,教會,02-2997-9177,周文治 傳道
中華民國台灣基督教信義會潮州教會,台灣 - 屏東縣,教會,08-788-4065,余俊達
中華協力會新竹福音堂,台灣 - 新竹市,教會,03-524-4715,林春美  傳道
中華協力會彰化蒙恩堂,台灣 - 彰化縣,教會,04-724-2400,蕭錦峰 牧師
台灣基督長老教會中華教會,台灣 - 台北市,教會,02-2381-1275,王怡孚
中華基督教長老會安坑國語禮拜堂,台灣 - 新北市,教會,02-2912-3393,高夢光
中華基督教長老會龜山國語禮拜堂,台灣 - 新北市,教會,02-2666-8224,李金美
中華基督教信義會仁愛堂,台灣 - 桃園市,教會,03-217-0805,葉勝煌 教師
中華基督教信義會龜山牧恩堂,台灣 - 桃園市,教會,03-350-3310,鄭富美 傳道
中華浸信宣道會三民教會,台灣 - 高雄市,教會,07-311-8383,程世昆 牧師
台灣基督長老教會巴陵教會,台灣 - 桃園市,教會,03-391-2756,李珍珍 牧師
台灣基督長老教會文山教會,台灣 - 台北市,教會,02-2939-3480,駱昆和 牧師
文林基督教會,台灣 - 台北市,教會,02-2831-6711,許振宏
台灣基督長老教會文賢教會,台灣 - 台南市,教會,06-258-9777,
台灣基督長老教會斗六教會,台灣 - 雲林縣,教會,05-532-2185,蔡崇偉 牧師
台灣基督長老教會斗南教會,台灣 - 雲林縣,教會,05-597-2615,歐又如 牧師
台灣基督長老教會雪山教會,台灣 - 台中市,教會,"04-2595-1602, 04-2591-2067",萊撒‧阿給佑 牧師
日月潭耶穌堂,台灣 - 南投縣,教會,0921-331-144,吳瑞楨
中華基督教信義會遵道堂,台灣 - 苗栗縣,教會,037-76-0059,張天造 牧師
財團法人台灣省中華基督教信義會雙和教會,台灣 - 新北市,教會,02-2941-8094,林政億 牧師
中華浸信宣道會三重教會,台灣 - 新北市,教會,02-2980-3230,陳月珠 牧師
台灣基督長老教會巴喜告教會,台灣 - 台東縣,教會,"089-56-1480,  0963-207-100",凱方．達斯努南 牧師
台灣基督長老教會文安教會,台灣 - 高雄市,教會,07-619-6292,陳薇雯 牧師
台灣基督長老教會文樂教會,台灣 - 屏東縣,教會,08-798-1549,竹嫵‧法之山 牧師
台灣基督長老教會文蘭教會,台灣 - 花蓮縣,教會,03-864-1616,拿難．達道 牧師
斗六聖教會,台灣 - 雲林縣,教會,05-532-4002,沈錫金 傳道
方舟禮拜堂,台灣 - 基隆市,教會,02-24288453,宋大峰
台灣基督長老教會日月潭教會,台灣 - 南投縣,教會,049-285-0162,葉志達 傳道師
台灣基督長老教會月眉教會,台灣 - 花蓮縣,教會,03-863-1385,
台灣基督長老教會椬梧教會,台灣 - 雲林縣,教會,05-790-7510,曹勝源 牧師
木柵活石基督教會,台灣 - 台北市,教會,02-2939-9784,
木柵基督徒聚會,台灣 - 台北市,教會,02-2936-0543,夏天恩 弟兄
台灣基督長老教會比利良教會,台灣 - 台東縣,教會,089-38-3142,蕭凱翔 傳道師
財團法人基督教比拉迦教會,台灣 - 新竹市,教會,03-525-7677,林文欽 牧師
台灣基督長老教會水田教會,台灣 - 新竹縣,教會,03-584-1852,以紹．芝佑 牧師
台灣基督長老教會水底寮教會,台灣 - 屏東縣,教會,08-871-3398,邱賢媛 牧師
台灣基督長老教會水門教會,台灣 - 屏東縣,教會,08-799-3374,徐玉男 牧師
台中台福基督教會,台灣 - 台中市,教會,04-2302-1119,蕭彼得 牧師
台灣基督長老教會日新教會,台灣 - 屏東縣,教會,08-799-3916,王明忠 牧師
月眉聖教會,台灣 - 花蓮縣,教會,03-826-0241,張長青
台灣基督長老教會木柵教會,台灣 - 高雄市,教會,07-668-1744,莊約翰 牧師
木柵浸信會,台灣 - 台北市,教會,02-2938-4545、2938-2209,周瑪琍 牧師
木柵靈糧堂,台灣 - 台北市,教會,02-2936-9996,戴志強 牧師
台灣基督長老教會比那斯基教會,台灣 - 台東縣,教會,089-23-7266,葉慧琴 傳道師
台灣基督長老教會水上教會,台灣 - 嘉義縣,教會,05-268-2995,洪約瑟 牧師
台灣基督長老教會水里教會,台灣 - 南投縣,教會,049-277-1456,林羅坤 牧師
台灣基督長老教會水林教會,台灣 - 雲林縣,教會,05-785-2930,莊信仁 牧師
台中中國城基督教教會,台灣 - 台中市,教會,04-2292-3754,李家麟
台中伊甸園教會,台灣 - 台中市,教會,04-2392-1172,陳正榮 傳道
東海靈糧堂,台灣 - 台中市,教會,04-2461-5088,林進泰 牧師
台中浸信會大里分堂,台灣 - 台中市,教會,04-24834511,朱尚忠
台中純福音教會,台灣 - 台中市,教會,04-2461-0470,徐湘鎮 牧師
台中基督種子教會,台灣 - 台中市,教會,04-2225-9123,董信明 牧師
台中基督徒教會,台灣 - 台中市,教會,04-2241-6637,楊創智 牧師
台中基督徒聚會,台灣 - 台中市,教會,04-2203-0424,柯建郎 長老
台灣基督長老教會石岡教會,台灣 - 台中市,教會,04-2572-2463,鍾正元 牧師
石門浸信會,台灣 - 桃園市,教會,03-471-2542,陳明正 牧師
石牌浸信會,台灣 - 台北市,教會,02-2821-3734,周宗崙 牧師
台中基督徒西屯禮拜堂,台灣 - 台中市,教會,04-2701-0428,周若聖 傳道
財團法人中華基督教行道會台中教會,台灣 - 台中市,教會,04-2293-2963,邱藍瑩 傳道
台中浸信會,台灣 - 台中市,教會,04-2222-3331,盧哲盛 牧師
台中神召會,台灣 - 台中市,教會,04-2222-5708,朴允錫 牧師
台灣基督長老教會健行教會,台灣 - 台中市,教會,04-2235-4033,甘淑惠 牧師
台中基督的教會,台灣 - 台中市,教會,04-2291-7883,靳緝熙 傳道
台中基督徒榮中禮拜堂,台灣 - 台中市,教會,04-2461-2590,黃蔚
台灣基督長老教會達大拿教會,台灣 - 花蓮縣,教會,03-883-2377,撒萊．諾阿南 傳道師
台灣基督長老教會石門教會,台灣 - 屏東縣,教會,08-883-1296,黃啟光 牧師
石牌基督長老教會,台灣 - 台北市,教會,02-2823-5082,吳明洲 牧師
伊甸基督教會,台灣 - 台南市,教會,06-223-5450,王慶瑜
台灣基督長老教會頂洲教會,台灣 - 台南市,教會,06-781-0831,周元元 牧師
基督徒魚池禮拜堂,台灣 - 南投縣,教會,049-289-7186,楊錫助
台灣基督長老教會鹿谷教會,台灣 - 南投縣,教會,049-275-2075,莊頌偉 傳道師
台灣基督長老教會鹿港教會,台灣 - 彰化縣,教會,04-778-3627,陳茉莉 牧師
台灣基督長老教會鹿滿教會,台灣 - 嘉義縣,教會,05-261-1854,詹偉謙 牧師
麥寮靈糧堂,台灣 - 雲林縣,教會,05-693-7760,蔡淮東 牧師
台灣基督長老教會麻豆教會,台灣 - 台南市,教會,06-572-3738,簡志偉 牧師
台灣基督長老教會博愛教會（東美）,台灣 - 台東縣,教會,089-87-1681,林碧玉 傳道師
台灣基督長老教會博愛教會（泰中）,台灣 - 台中市,教會,04-2594-1781,法度
台灣基督長老教會石磊教會,台灣 - 新竹縣,教會,03-584-7003,徐正義 牧師
台灣基督長老教會頂六教會,台灣 - 嘉義縣,教會,05-239-6785,葉旭昌 牧師
台灣基督長老教會魚池教會,台灣 - 南投縣,教會,049-289-5165,林志郎 牧師
台灣基督長老教會鳥松教會,台灣 - 高雄市,教會,07-731-5301,蔡博聞 牧師
台灣基督長老教會鹿野教會,台灣 - 台東縣,教會,089-55-0185,羅碧玉 牧師
中華基督教鹿港浸信會,台灣 - 彰化縣,教會,04-777-5354,姚建森傳道
台灣基督長老教會麥路豐教會,台灣 - 苗栗縣,教會,037-96-2331,黃培恩 傳道
麥穗田福音推廣中心,台灣 - 新北市,書房出版,02-29434277,沈緯洋
台灣基督長老教會凱旋教會,台灣 - 高雄市,教會,07-761-0210,楊恩賜 牧師
台灣基督長老教會博愛教會（南中）,台灣 - 台南市,教會,06-225-0844,
台灣基督長老教會思彼悠谷教會,台灣 - 花蓮縣,教會,03-853-0742、03-826-0082,
台灣基督長老教會寒溪教會,台灣 - 宜蘭縣,教會,03-951-7460,黃志堅 牧師
台灣基督長老教會富強教會,台灣 - 台南市,教會,06-268-9071,夏文學 牧師
台灣基督長老教會尊賢教會,台灣 - 台北市,教會,02-2821-2670,康進順 牧師
台灣基督長老教會復國教會,台灣 - 台南市,教會,06-313-7840,黃淑雯 牧師
財團法人台灣基督長老教會台中中會復興教會,台灣 - 台中市,教會,04-2262-4611,蔡明禮 牧師
台灣基督長老教會復興教會（美中）,台灣 - 花蓮縣,教會,03-886-1562,柳麗淑 傳道師
中華基督復興會永愛教會,台灣 - 台南市,教會,06-313-0733,陳金榮
